ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520297,4.611088,6.490468,4.588913,15.98891,0.2635523,3.105259,0.1031067,NONE
-1,6.520152,4.611084,6.490613,4.588917,15.98892,0.2724808,3.105133,0.2003754,ACCELERATE
-1,6.520141,4.61108,6.490624,4.588921,15.98892,0.2751143,3.105105,0.3006289,ACCELERATE
-1,6.520133,4.611074,6.490631,4.588927,15.98893,0.275661,3.105101,0.4022189,ACCELERATE
-1,6.520128,4.611071,6.490637,4.588931,15.98893,0.2757402,3.105101,0.5012006,ACCELERATE
-1,6.52012,4.611065,6.490645,4.588936,15.98894,0.2757472,3.105108,0.6009597,ACCELERATE
-1,6.520115,4.611061,6.49065,4.58894,15.98894,0.2757442,3.105109,0.7012294,ACCELERATE
-1,6.520107,4.611055,6.490658,4.588946,15.98895,0.2757446,3.105122,0.800889,ACCELERATE
-1,6.520101,4.611052,6.490664,4.58895,15.98895,0.2757432,3.10512,0.9002963,ACCELERATE
-1,6.520093,4.611046,6.490672,4.588955,15.98895,0.2757434,3.10512,1.001517,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.10512,1.101503,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.10512,1.202531,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757435,3.10512,1.300177,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.10512,1.402866,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.10512,1.502168,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757434,3.105122,1.602963,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757438,3.105134,1.706572,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757434,3.105131,1.800968,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757433,3.10513,1.903318,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757451,3.105143,2.003324,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.10514,2.100814,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757436,3.10514,2.203121,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.10514,2.307015,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98895,0.2757437,3.105143,2.401944,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98895,0.2757435,3.105143,2.500023,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757434,3.105146,2.602993,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105149,2.701719,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98895,0.2757435,3.105149,2.802004,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757431,3.105149,2.901651,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757429,3.105152,3.006101,ACCELERATE
