ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520374,4.61109,6.490391,4.588912,15.98891,0.2615363,3.105291,0.1038735,NONE
-1,6.520157,4.611086,6.490607,4.588915,15.98892,0.2719045,3.105138,0.2029301,ACCELERATE
-1,6.52014,4.61108,6.490624,4.588921,15.98892,0.2749803,3.105109,0.3030762,ACCELERATE
-1,6.520135,4.611076,6.490629,4.588925,15.98892,0.2756273,3.105101,0.4005109,ACCELERATE
-1,6.520129,4.611072,6.490635,4.58893,15.98893,0.2757372,3.105099,0.5009336,ACCELERATE
-1,6.520122,4.611066,6.490644,4.588935,15.98893,0.2757471,3.105108,0.6048533,ACCELERATE
-1,6.520116,4.611062,6.490649,4.588939,15.98894,0.2757443,3.105108,0.704083,ACCELERATE
-1,6.520108,4.611056,6.490657,4.588945,15.98894,0.2757445,3.10512,0.8011549,ACCELERATE
-1,6.520101,4.611052,6.490664,4.58895,15.98895,0.2757429,3.105118,0.9039044,ACCELERATE
-1,6.520094,4.611047,6.49067,4.588954,15.98895,0.2757436,3.105126,1.001894,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105128,1.103168,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757436,3.105128,1.201381,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757436,3.105128,1.305102,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105127,1.403245,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.275745,3.105139,1.500471,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105138,1.603767,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105138,1.705145,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105138,1.802794,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105138,1.906118,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105138,2.003523,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105138,2.100057,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105138,2.203582,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105138,2.300339,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757434,3.105138,2.402217,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105138,2.501452,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757436,3.105138,2.600531,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105138,2.701808,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105138,2.80145,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105138,2.90365,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105138,3.006251,ACCELERATE
-1,6.520105,4.61104,6.490659,4.588961,15.98896,0.2757268,3.136474,3.100386,ACCELERATE
-1,6.520141,4.611011,6.490624,4.588991,15.98899,0.2757042,3.335094,3.206413,ACCELERATE
-1,6.520156,4.610966,6.490608,4.589036,15.98904,0.2756976,3.647724,3.301698,ACCELERATE
-1,6.520247,4.610916,6.490518,4.589085,15.98909,0.2863325,4.099869,3.401392,ACCELERATE
-1,6.520367,4.610886,6.490398,4.589116,15.98912,0.2778705,4.673434,3.501722,ACCELERATE
-1,6.520389,4.610869,6.490376,4.589132,15.98913,0.2801496,5.359336,3.600974,ACCELERATE
-1,6.520402,4.610841,6.490365,4.58916,15.98916,0.2788067,6.161097,3.70125,ACCELERATE
-1,6.520449,4.610806,6.490318,4.589196,15.9892,0.279424,7.076095,3.803128,ACCELERATE
-1,6.52048,4.610771,6.490286,4.58923,15.98923,0.2790445,8.066607,3.903368,ACCELERATE
-1,6.520543,4.61074,6.490224,4.589262,15.98926,0.2792179,9.153113,4.00515,ACCELERATE
-1,6.520613,4.610722,6.490155,4.58928,15.98928,0.279135,10.24706,4.101376,ACCELERATE
-1,6.520715,4.610716,6.490053,4.589285,15.98928,0.2791771,11.48614,4.204748,ACCELERATE
-1,6.520835,4.610727,6.489933,4.589274,15.98927,0.2791517,12.71905,4.303094,ACCELERATE
-1,6.520978,4.610754,6.48979,4.589247,15.98924,0.2791643,13.98499,4.400432,ACCELERATE
-1,6.521159,4.610804,6.489611,4.589198,15.98919,0.2791579,15.37804,4.504206,ACCELERATE
-1,6.521371,4.610876,6.4894,4.589125,15.98912,0.2791607,16.74463,4.603293,ACCELERATE
-1,6.521611,4.61097,6.48916,4.589032,15.98902,0.2791587,18.18842,4.705631,ACCELERATE
-1,6.521882,4.611085,6.48889,4.588916,15.98891,0.2791584,19.56392,4.801312,ACCELERATE
-1,6.522192,4.611227,6.488581,4.588774,15.98877,0.2791582,21.02158,4.90112,ACCELERATE
-1,6.522539,4.611393,6.488235,4.588608,15.9886,0.2791571,22.50327,5.00119,ACCELERATE
-1,6.522902,4.611576,6.487871,4.588425,15.98841,0.2791598,23.98223,5.10049,LEFT_ACCELERATE
-1,6.753763,4.638875,6.276019,4.564898,15.95945,0.2791612,25.51245,5.203277,LEFT_ACCELERATE
-1,7.603307,4.805407,5.684397,4.446325,15.81229,0.2791675,26.94517,5.300125,LEFT_ACCELERATE
-1,8.50335,-1,5.164917,4.207667,15.54716,0.2791659,28.44318,5.402301,LEFT_ACCELERATE
-1,8.959592,-1,4.837653,3.947001,15.28634,0.2791623,29.88872,5.500923,ACCELERATE
-1,9.295185,-1,4.517105,3.684798,15.03215,0.2791611,31.37491,5.602151,ACCELERATE
-1,9.469535,-1,4.214246,3.437273,14.78345,0.2791603,32.88344,5.704794,ACCELERATE
-1,9.511862,-1,3.920297,3.197258,14.55067,0.279161,34.32979,5.803144,ACCELERATE
-1,9.439975,-1,3.656477,2.962747,14.31948,0.2791603,35.78929,5.902349,ACCELERATE
-1,9.347719,-1,3.458662,2.727614,14.08164,0.2791601,37.25352,6.001946,LEFT_ACCELERATE
-1,9.62082,-1,3.107836,2.464669,13.74589,0.2791627,38.74828,6.104919,LEFT_ACCELERATE
19.32356,9.653567,-1,2.834532,2.181694,13.33165,0.279165,40.15939,6.203681,ACCELERATE
17.95811,9.365386,-1,2.790817,1.994307,12.90695,0.2791617,41.59203,6.304,LEFT_ACCELERATE
17.40642,9.306989,-1,2.716847,1.881173,12.44587,0.2791643,42.95438,6.400638,LEFT_ACCELERATE
16.70804,9.164829,-1,2.708345,1.781585,11.84618,0.2791647,44.38879,6.505062,LEFT_ACCELERATE
15.38375,8.736856,-1,3.134261,1.812118,11.26265,0.2791628,45.74806,6.604378,LEFT_ACCELERATE
14.74525,8.462178,-1,3.612025,1.923068,10.64279,0.2791643,47.04876,6.701192,LEFT_ACCELERATE
14.88438,8.408813,-1,3.733456,2.010506,9.861379,0.2791856,48.30764,6.800903,LEFT_ACCELERATE
15.90928,8.640043,-1,3.357101,2.001947,8.870372,0.2792106,49.44196,6.90243,LEFT_ACCELERATE
17.64598,9.127759,-1,2.807813,1.868548,7.719499,0.2792121,50.34207,7.000984,LEFT_ACCELERATE
19.78247,9.553664,-1,2.367601,1.654116,6.424701,0.2791939,51.06567,7.100904,LEFT_ACCELERATE
-1,9.70706,-1,2.098794,1.442853,5.055219,0.2791794,51.67457,7.201622,LEFT_ACCELERATE
-1,9.435481,-1,2.165376,1.358946,3.680823,0.2791672,52.26206,7.302,ACCELERATE
19.33922,8.968264,-1,2.656774,1.459602,2.331227,0.2791633,52.87561,7.401547,ACCELERATE
18.64963,8.509982,-1,3.491524,1.700646,0.9794518,0.27916,53.49775,7.501464,LEFT_ACCELERATE
-1,8.26457,-1,4.031702,1.962634,-0.4385238,0.2791674,54.04079,7.603548,LEFT_ACCELERATE
-1,8.155672,-1,4.258607,2.164991,-1.847201,0.2791734,54.42255,7.701647,LEFT_ACCELERATE
-1,7.84241,-1,4.824887,2.458172,-3.345077,0.2791642,54.77684,7.805,ACCELERATE
-1,7.478451,-1,5.459643,2.800741,-4.719432,0.2791624,55.11591,7.90004,LEFT_ACCELERATE
-1,7.383602,-1,5.520402,3.081397,-6.231781,0.2791633,55.42485,8.003761,LEFT_ACCELERATE
-1,7.564465,-1,5.251514,3.207612,-7.66263,0.27917,55.58284,8.100509,LEFT_ACCELERATE
-1,7.523849,-1,5.317117,3.31776,-9.154536,0.2791637,55.70046,8.200994,ACCELERATE
-1,7.42609,-1,5.44757,3.441779,-10.63467,0.2791613,55.82643,8.300732,LEFT_ACCELERATE
-1,7.678476,-1,5.219244,3.492889,-12.16278,0.2791637,55.88878,8.403466,LEFT_ACCELERATE
-1,7.766526,-1,5.154791,3.507172,-13.62341,0.2791616,55.9054,8.50154,LEFT_ACCELERATE
-1,8.198987,-1,4.856265,3.478465,-15.1332,0.2791638,55.87478,8.602989,LEFT_ACCELERATE
-1,9.174994,-1,4.328118,3.33768,-16.57062,0.2791689,55.71475,8.700214,LEFT_ACCELERATE
-1,9.77777,-1,3.935104,3.109275,-18.08244,0.2791652,55.479,8.802958,ACCELERATE
-1,9.915407,-1,3.659115,2.890996,-19.59192,0.2791615,55.25901,8.905378,ACCELERATE
-1,9.917212,-1,3.41764,2.699609,-20.99798,0.2791611,55.06824,9.000643,ACCELERATE
-1,9.80027,-1,3.172554,2.496883,-22.51258,0.2791606,54.8725,9.103171,ACCELERATE
-1,9.590363,-1,3.024067,2.314764,-23.96022,0.2791611,54.6916,9.201117,ACCELERATE
18.5481,9.281608,-1,3.028692,2.163104,-25.46796,0.2791607,54.50735,9.303093,ACCELERATE
17.1892,8.937598,-1,3.196921,2.110838,-26.94481,0.2791596,54.32455,9.403,LEFT_ACCELERATE
16.68062,8.835309,-1,3.252407,2.101647,-28.47371,0.2791653,54.0518,9.507388,LEFT_ACCELERATE
16.64561,8.914563,-1,3.121936,2.040544,-29.82942,0.2791736,53.6568,9.602348,LEFT_ACCELERATE
15.77771,8.69539,-1,3.310179,2.005963,-31.25906,0.279166,53.14604,9.7043,ACCELERATE
14.40495,8.224338,-1,4.154437,2.121786,-32.65952,0.2791641,52.64881,9.804081,LEFT_ACCELERATE
13.68074,7.886072,-1,5.229548,2.31672,-33.99259,0.2791631,52.12295,9.90036,LEFT_ACCELERATE
13.6969,7.749555,-1,5.580329,2.484455,-35.37413,0.2791855,51.39241,10.00554,LEFT_ACCELERATE
14.52299,7.876189,-1,4.911107,2.534604,-36.49426,0.2792093,50.5478,10.10007,LEFT_ACCELERATE
16.13779,8.296271,-1,4.017768,2.450934,-37.53079,0.2792175,49.40125,10.20439,LEFT_ACCELERATE
18.70627,8.927189,-1,3.260913,2.256781,-38.26909,0.2792158,48.18075,10.30075,LEFT_ACCELERATE
-1,9.554559,-1,2.662147,1.967298,-38.82472,0.2791989,46.81774,10.40009,LEFT_ACCELERATE
-1,9.935934,-1,2.214581,1.642116,-39.25443,0.2791815,45.36088,10.50221,LEFT_ACCELERATE
-1,9.849764,-1,2.043242,1.421914,-39.63789,0.2791691,43.93677,10.60126,ACCELERATE
-1,9.465001,-1,2.189997,1.373037,-40.07075,0.279164,42.46608,10.70421,ACCELERATE
-1,9.016008,-1,2.646012,1.489211,-40.50655,0.2791619,41.07879,10.80184,ACCELERATE
-1,8.549468,-1,3.466042,1.739191,-40.95938,0.2791618,39.66891,10.90127,LEFT_ACCELERATE
-1,8.396916,-1,3.860467,2.015799,-41.35983,0.2791645,38.1479,11.00699,LEFT_ACCELERATE
-1,8.459142,-1,3.91046,2.226697,-41.60221,0.2791688,36.70349,11.1054,LEFT_ACCELERATE
-1,8.280098,-1,4.205529,2.436996,-41.80564,0.2791633,35.29005,11.20128,ACCELERATE
-1,7.995424,-1,4.615341,2.673841,-42.04286,0.2791624,33.76894,11.30464,LEFT_ACCELERATE
-1,7.911656,-1,4.775918,2.874741,-42.24961,0.2791607,32.32583,11.40254,LEFT_ACCELERATE
-1,8.200997,-1,4.555215,2.957731,-42.35088,0.2791649,30.84843,11.50206,LEFT_ACCELERATE
-1,8.247781,-1,4.54925,3.006816,-42.40375,0.2791637,29.32438,11.60445,ACCELERATE
-1,8.165716,-1,4.642509,3.068152,-42.46648,0.2791617,27.89896,11.70025,ACCELERATE
-1,8.058394,-1,4.764312,3.147962,-42.54412,0.2791607,26.38913,11.80175,ACCELERATE
-1,7.94809,-1,4.889814,3.230463,-42.62793,0.2791611,24.90216,11.90173,ACCELERATE
-1,7.830316,-1,5.023999,3.31885,-42.71645,0.2791596,23.41599,12.00168,ACCELERATE
-1,7.844207,-1,5.045696,3.39407,-42.79377,0.279161,21.90294,12.10341,LEFT_ACCELERATE
-1,8.269225,-1,4.759786,3.382999,-42.781,0.2791622,20.44371,12.20145,LEFT_ACCELERATE
-1,8.421438,-1,4.644765,3.331391,-42.72881,0.2791628,18.90821,12.3046,ACCELERATE
-1,8.478958,-1,4.588603,3.290895,-42.68856,0.2791601,17.44966,12.40256,ACCELERATE
-1,8.527605,-1,4.540857,3.256287,-42.65443,0.2791602,15.96824,12.50204,ACCELERATE
-1,8.569692,-1,4.499648,3.22651,-42.62486,0.2791603,14.49131,12.60122,ACCELERATE
-1,8.608792,-1,4.461456,3.198994,-42.59703,0.2791603,12.94381,12.70512,ACCELERATE
-1,8.643986,-1,4.427147,3.174329,-42.57308,0.2791594,11.50505,12.80173,ACCELERATE
-1,8.67704,-1,4.394966,3.151228,-42.54964,0.2791607,10.01878,12.90152,ACCELERATE
-1,8.710694,-1,4.362239,3.127761,-42.52669,0.27916,8.507246,13.00301,ACCELERATE
-1,8.742137,-1,4.331687,3.105871,-42.50461,0.2791611,7.013999,13.10327,ACCELERATE
-1,8.772309,-1,4.302388,3.084888,-42.48354,0.2791608,5.564105,13.20061,ACCELERATE
