ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520312,4.611088,6.490454,4.588913,15.98891,0.2634452,3.10526,0.1001906,NONE
-1,6.52015,4.611084,6.490613,4.588917,15.98892,0.272577,3.105132,0.2000958,NONE
-1,6.52014,4.61108,6.490624,4.588921,15.98892,0.2751331,3.105105,0.3000734,NONE
-1,6.520133,4.611074,6.490631,4.588927,15.98893,0.2756731,3.105101,0.4060326,NONE
-1,6.520128,4.611071,6.490637,4.588931,15.98893,0.2757412,3.1051,0.5025955,ACCELERATE
-1,6.52012,4.611065,6.490644,4.588936,15.98894,0.275747,3.105106,0.6001858,ACCELERATE
-1,6.520115,4.611061,6.49065,4.58894,15.98894,0.2757444,3.105107,0.7020323,ACCELERATE
-1,6.520108,4.611056,6.490657,4.588945,15.98895,0.2757437,3.10511,0.8023017,ACCELERATE
-1,6.5201,4.611051,6.490665,4.588951,15.98895,0.2757433,3.10511,0.9022053,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98895,0.2757444,3.105129,1.002501,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757426,3.105124,1.102518,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98895,0.2757433,3.105125,1.201182,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98895,0.2757435,3.105125,1.300346,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757435,3.105125,1.400339,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105125,1.502564,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105128,1.603753,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757433,3.105128,1.702178,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757433,3.10513,1.805701,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.275744,3.105142,1.903872,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757432,3.105141,2.001674,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105144,2.104176,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757436,3.105147,2.203266,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98895,0.2757436,3.105147,2.302864,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757433,3.105145,2.40346,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757437,3.105151,2.502295,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757436,3.105151,2.605302,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757437,3.105151,2.704522,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105151,2.802118,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757437,3.105153,2.902996,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757434,3.105153,3.001668,ACCELERATE
-1,6.520112,4.611035,6.490653,4.588966,15.98897,0.2757211,3.156457,3.100131,ACCELERATE
-1,6.520144,4.611004,6.490621,4.588997,15.989,0.2757021,3.383421,3.207722,ACCELERATE
-1,6.52016,4.610959,6.490605,4.589042,15.98905,0.275697,3.720993,3.303406,LEFT_ACCELERATE
-1,6.684935,4.624713,6.336419,4.577442,15.97514,0.2797301,4.182956,3.401078,LEFT_ACCELERATE
-1,7.316998,4.720182,5.870553,4.515131,15.89325,0.2810006,4.782105,3.503571,LEFT_ACCELERATE
-1,7.698627,4.83478,5.625299,4.422654,15.78986,0.2790497,5.455781,3.600156,ACCELERATE
-1,7.874408,4.944438,5.485336,4.313126,15.68024,0.2795857,6.305099,3.705583,ACCELERATE
-1,7.939084,-1,5.399808,4.209239,15.58306,0.2790926,7.167368,3.800836,RIGHT_ACCELERATE
-1,7.69839,-1,5.486166,4.134634,15.52235,0.279248,8.188638,3.90368,RIGHT_ACCELERATE
-1,7.759134,-1,5.426204,4.08081,15.47033,0.2791412,9.23177,4.00102,ACCELERATE
-1,7.855497,-1,5.341739,4.017744,15.40597,0.2791789,10.38133,4.101888,ACCELERATE
-1,7.966302,-1,5.244486,3.944909,15.3329,0.2791499,11.61332,4.204407,ACCELERATE
-1,8.083195,-1,5.141801,3.867867,15.25594,0.279168,12.87164,4.30458,ACCELERATE
