ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520255,4.611088,6.490508,4.588913,15.98891,0.2651243,3.105233,0.1028756,NONE
-1,6.520149,4.611084,6.490616,4.588917,15.98892,0.273105,3.105127,0.2025942,NONE
-1,6.520139,4.611079,6.490626,4.588922,15.98892,0.2752411,3.105109,0.3011651,ACCELERATE
-1,6.520133,4.611074,6.490631,4.588927,15.98893,0.275682,3.105104,0.4032208,ACCELERATE
-1,6.520127,4.61107,6.490638,4.588932,15.98893,0.2757425,3.105104,0.5015887,ACCELERATE
-1,6.52012,4.611065,6.490645,4.588936,15.98894,0.275747,3.105112,0.6034252,ACCELERATE
-1,6.520113,4.61106,6.490652,4.588941,15.98894,0.2757441,3.105113,0.7019212,ACCELERATE
-1,6.520107,4.611055,6.490658,4.588946,15.98895,0.2757437,3.105117,0.8013192,ACCELERATE
-1,6.5201,4.611051,6.490665,4.588951,15.98895,0.2757436,3.105117,0.9025174,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98895,0.2757434,3.105117,1.005672,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757448,3.105127,1.103534,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105126,1.200787,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105126,1.304936,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105126,1.403924,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105126,1.501033,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105126,1.604513,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105126,1.700754,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.275744,3.105131,1.805505,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757434,3.105131,1.904386,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757441,3.105136,2.006264,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757432,3.105136,2.105007,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757441,3.105141,2.201237,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757439,3.105154,2.301999,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757433,3.105151,2.403023,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105152,2.502979,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105151,2.607502,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757436,3.105152,2.704765,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757435,3.105151,2.803445,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105151,2.903746,LEFT_ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105152,3.001386,LEFT_ACCELERATE
-1,6.521404,4.611087,6.489366,4.588914,15.98891,0.2757185,3.170039,3.100534,ACCELERATE
-1,6.521516,4.61111,6.489254,4.588892,15.98889,0.2757018,3.399603,3.203735,ACCELERATE
-1,6.587779,4.614463,6.425094,4.585945,15.98501,0.2756971,3.754058,3.30185,LEFT_ACCELERATE
-1,6.987709,4.6614,6.094439,4.553325,15.94292,0.2790626,4.241423,3.402955,LEFT_ACCELERATE
-1,7.21632,4.727535,5.924581,4.497327,15.88157,0.2803655,4.849356,3.503999,ACCELERATE
-1,7.308239,4.786375,5.845839,4.438656,15.82242,0.2792065,5.58982,3.606988,ACCELERATE
-1,7.401211,4.847087,5.765723,4.377964,15.76263,0.2794165,6.376496,3.702423,ACCELERATE
-1,7.505262,4.915251,5.675967,4.309796,15.69497,0.2790338,7.280462,3.800927,ACCELERATE
-1,7.621414,4.991249,5.575821,4.233808,15.61859,0.2792155,8.307865,3.903279,ACCELERATE
-1,7.741515,-1,5.472268,4.155218,15.54026,0.2791276,9.364885,4.001109,ACCELERATE
-1,7.872408,-1,5.359425,4.069591,15.45249,0.2791727,10.55087,4.10434,ACCELERATE
-1,8.009207,-1,5.241495,3.980098,15.36505,0.2791527,11.73328,4.202131,ACCELERATE
-1,8.152939,-1,5.1176,3.886077,15.27129,0.2791654,13.00153,4.30267,ACCELERATE
-1,8.299873,-1,4.99095,3.789962,15.17566,0.2791581,14.29529,4.401618,ACCELERATE
-1,8.452263,-1,4.859607,3.690281,15.07463,0.2791603,15.66197,4.503014,ACCELERATE
-1,8.608527,-1,4.72493,3.588067,14.97402,0.2791592,17.02281,4.601426,ACCELERATE
