ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520252,4.611088,6.490512,4.588913,15.98891,0.2653872,3.105232,0.1022037,NONE
-1,6.520148,4.611084,6.490615,4.588917,15.98892,0.2731207,3.105128,0.200253,NONE
-1,6.520137,4.611078,6.490626,4.588923,15.98892,0.2752811,3.105109,0.3032378,NONE
-1,6.520133,4.611074,6.490631,4.588927,15.98893,0.2756853,3.105105,0.4026749,NONE
-1,6.520127,4.61107,6.490638,4.588932,15.98893,0.275743,3.105105,0.5034929,NONE
-1,6.52012,4.611065,6.490645,4.588936,15.98894,0.2757469,3.105114,0.6000496,NONE
-1,6.520113,4.61106,6.490652,4.588941,15.98894,0.2757448,3.105119,0.7035365,NONE
-1,6.520107,4.611055,6.490658,4.588946,15.98895,0.2757444,3.105133,0.8007296,NONE
-1,6.5201,4.611051,6.490665,4.588951,15.98895,0.2757432,3.105132,0.9031968,NONE
-1,6.52009,4.611043,6.490675,4.588958,15.98896,0.2757438,3.105135,1.001002,NONE
-1,6.520086,4.61104,6.490679,4.588961,15.98896,0.2757433,3.105138,1.10048,NONE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757435,3.105139,1.203504,NONE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757446,3.105145,1.300791,ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757432,3.105144,1.400477,ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757435,3.105144,1.506262,LEFT_ACCELERATE
-1,6.520086,4.61104,6.490679,4.588961,15.98896,0.2757434,3.105146,1.602883,LEFT_ACCELERATE
-1,6.520089,4.611042,6.490676,4.588959,15.98896,0.2757434,3.105148,1.704551,LEFT_ACCELERATE
-1,6.520089,4.611042,6.490676,4.588959,15.98896,0.2757433,3.105148,1.801573,LEFT_ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757436,3.105148,1.902475,LEFT_ACCELERATE
-1,6.520089,4.611042,6.490676,4.588959,15.98896,0.2757435,3.10515,2.00546,ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757433,3.105148,2.100808,ACCELERATE
-1,6.520089,4.611042,6.490676,4.588959,15.98896,0.2757437,3.105153,2.203508,LEFT_ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757433,3.105156,2.302608,LEFT_ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757435,3.105158,2.400239,ACCELERATE
-1,6.520086,4.61104,6.490679,4.588961,15.98896,0.2757435,3.105158,2.503407,ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757435,3.105158,2.601441,LEFT_ACCELERATE
-1,6.520086,4.61104,6.490679,4.588961,15.98896,0.2757434,3.105158,2.703192,LEFT_ACCELERATE
-1,6.520089,4.611042,6.490676,4.588959,15.98896,0.2757437,3.10516,2.803693,LEFT_ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757433,3.105161,2.900112,ACCELERATE
-1,6.520088,4.611041,6.490677,4.58896,15.98896,0.2757435,3.105161,3.0008,ACCELERATE
-1,6.525051,4.61117,6.485743,4.588833,15.98868,0.2757127,3.20864,3.101003,LEFT_ACCELERATE
-1,6.757363,4.627284,6.27512,4.577304,15.97395,0.2757008,3.466027,3.202544,LEFT_ACCELERATE
-1,6.983162,4.667048,6.095826,4.546783,15.93763,0.2756974,3.853742,3.302035,ACCELERATE
-1,7.036862,4.701548,6.048173,4.512434,15.904,0.2812203,4.373652,3.403432,ACCELERATE
-1,7.08863,4.735737,6.00194,4.478277,15.86921,0.2790485,4.994623,3.501961,ACCELERATE
-1,7.152572,4.778284,5.944748,4.435746,15.82683,0.2792729,5.759812,3.604831,ACCELERATE
-1,7.218328,4.82218,5.885887,4.391853,15.78152,0.2790596,6.579207,3.701384,ACCELERATE
-1,7.489475,4.897589,5.69313,4.328396,15.7127,0.2791982,7.540086,3.803603,LEFT_ACCELERATE
-1,7.687905,4.992369,5.541406,4.238256,15.61931,0.2791417,8.54899,3.902338,ACCELERATE
-1,7.838238,-1,5.413651,4.140404,15.52058,0.2791654,9.673826,4.004876,ACCELERATE
-1,7.989185,-1,5.28535,4.042138,15.42104,0.2791637,10.84412,4.10541,ACCELERATE
-1,8.144538,-1,5.153378,3.941162,15.3233,0.2791671,12.01284,4.20111,ACCELERATE
-1,8.306537,-1,5.015803,3.835943,15.21707,0.2791589,13.29552,4.301982,ACCELERATE
-1,8.473584,-1,4.873972,3.727493,15.10989,0.2791615,14.59712,4.400861,ACCELERATE
-1,8.648337,-1,4.725618,3.614068,14.9976,0.279159,15.96562,4.501832,ACCELERATE
-1,8.822495,-1,4.577784,3.501046,14.88266,0.2791589,17.36935,4.602855,ACCELERATE
-1,8.99867,-1,4.428257,3.386731,14.76889,0.2791584,18.76044,4.700914,ACCELERATE
-1,9.181416,-1,4.273161,3.268157,14.65046,0.2791579,20.20959,4.801292,ACCELERATE
-1,9.373186,-1,4.110423,3.14374,14.52811,0.2791578,21.70728,4.90347,ACCELERATE
-1,9.559894,-1,3.951992,3.022614,14.40571,0.2791584,23.20589,5.004571,ACCELERATE
-1,9.746896,-1,3.793323,2.901301,14.28412,0.2791596,24.69472,5.104858,ACCELERATE
-1,9.929246,-1,3.638608,2.783008,14.16614,0.2791594,26.1393,5.202164,ACCELERATE
-1,-1,-1,3.478547,2.660624,14.0471,0.2791598,27.59676,5.300335,ACCELERATE
-1,-1,-1,3.319495,2.539008,13.92555,0.2791608,29.08483,5.40057,ACCELERATE
-1,-1,-1,3.16054,2.417463,13.80254,0.2791587,30.59046,5.501987,ACCELERATE
-1,-1,-1,2.998871,2.293839,13.68042,0.2791606,32.08498,5.602655,ACCELERATE
-1,-1,-1,2.839724,2.172139,13.55946,0.2791599,33.56506,5.702352,ACCELERATE
-1,-1,-1,2.683094,2.052361,13.43837,0.2791601,35.04646,5.802137,ACCELERATE
-1,9.923173,-1,2.564266,1.929451,13.31765,0.2791591,36.52311,5.901603,ACCELERATE
18.65939,9.570349,-1,2.577626,1.822025,13.19373,0.2791603,38.03852,6.00368,ACCELERATE
