ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.52034,4.611088,6.490425,4.588913,15.98891,0.2622726,3.105278,0.104262,NONE
-1,6.520154,4.611085,6.49061,4.588916,15.98892,0.2722065,3.105137,0.204507,NONE
-1,6.52014,4.61108,6.490624,4.588921,15.98892,0.2750275,3.105108,0.3027297,NONE
-1,6.520134,4.611075,6.490631,4.588926,15.98893,0.2756466,3.105101,0.404624,NONE
-1,6.520128,4.611071,6.490636,4.588931,15.98893,0.2757384,3.1051,0.5012888,NONE
-1,6.520122,4.611066,6.490644,4.588935,15.98894,0.2757476,3.105109,0.6040899,ACCELERATE
-1,6.520115,4.611061,6.49065,4.58894,15.98894,0.2757445,3.105108,0.7032487,ACCELERATE
-1,6.520108,4.611056,6.490657,4.588945,15.98894,0.2757462,3.105127,0.8035169,ACCELERATE
-1,6.520101,4.611052,6.490664,4.58895,15.98895,0.275743,3.105126,0.9041297,ACCELERATE
-1,6.520094,4.611047,6.49067,4.588954,15.98895,0.2757435,3.105126,1.002728,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757436,3.105126,1.101962,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757454,3.105138,1.200997,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757431,3.105136,1.303575,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757434,3.105136,1.400742,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105134,1.50222,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757444,3.10514,1.600598,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105139,1.702371,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757432,3.105139,1.804055,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757433,3.105144,1.901886,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757431,3.105145,2.003304,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105145,2.105354,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105145,2.200835,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105145,2.300692,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105145,2.401703,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757434,3.105145,2.503656,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105145,2.600266,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105145,2.701027,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105145,2.807117,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105145,2.902888,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105145,3.003237,ACCELERATE
-1,6.5201,4.61104,6.490664,4.588961,15.98896,0.2757321,3.129026,3.104554,ACCELERATE
-1,6.52013,4.611014,6.490634,4.588987,15.98899,0.2757082,3.285944,3.204102,ACCELERATE
-1,6.52015,4.610973,6.490616,4.589028,15.98903,0.2756994,3.579082,3.302527,ACCELERATE
-1,6.520154,4.610918,6.490612,4.589083,15.98908,0.2768616,3.999554,3.400452,ACCELERATE
