ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.989,0.267,3.105128,0.1207136,LEFT_ACCELERATE
-1,6.520801,4.610999,6.489966,4.589002,15.98906,0.2729871,3.105055,0.2023043,LEFT_ACCELERATE
-1,6.520643,4.61091,6.490124,4.589091,15.98909,0.2752425,3.105038,0.3041641,LEFT_ACCELERATE
-1,6.520613,4.61089,6.490154,4.589111,15.98911,0.2756777,3.105043,0.4021735,LEFT_ACCELERATE
-1,6.520604,4.610884,6.490163,4.589118,15.98912,0.2757422,3.105042,0.5046004,ACCELERATE
-1,6.520591,4.610875,6.490176,4.589126,15.98913,0.2757462,3.105048,0.604296,LEFT_ACCELERATE
-1,6.520565,4.610857,6.490203,4.589144,15.98914,0.2757444,3.105051,0.7058966,LEFT_ACCELERATE
-1,6.520537,4.610839,6.49023,4.589162,15.98916,0.2757438,3.105053,0.8051248,LEFT_ACCELERATE
-1,6.520525,4.61083,6.490242,4.589171,15.98917,0.2757441,3.105069,0.9001716,ACCELERATE
-1,6.52052,4.610826,6.490247,4.589175,15.98917,0.2757448,3.10509,1.002959,ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98917,0.2757438,3.105102,1.102365,ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98918,0.2757446,3.105124,1.208633,ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98918,0.2757446,3.105142,1.306171,ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98918,0.2757442,3.105156,1.402735,LEFT_ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98918,0.2757432,3.10516,1.502646,LEFT_ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98918,0.2757438,3.10517,1.600453,LEFT_ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98917,0.2757448,3.105189,1.701626,ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98918,0.2757448,3.105212,1.800031,ACCELERATE
-1,6.520517,4.610825,6.49025,4.589177,15.98918,0.2757439,3.105225,1.907144,ACCELERATE
