ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.52029,4.611088,6.490475,4.588913,15.98891,0.2641313,3.105251,0.100271,NONE
-1,6.520149,4.611084,6.490614,4.588917,15.98892,0.2729456,3.105132,0.2033199,NONE
-1,6.520139,4.611079,6.490625,4.588922,15.98892,0.2752197,3.105112,0.3035024,NONE
-1,6.520133,4.611074,6.490631,4.588927,15.98893,0.2756765,3.105108,0.404174,NONE
-1,6.520127,4.61107,6.490638,4.588932,15.98893,0.2757419,3.105107,0.5026076,NONE
-1,6.52012,4.611065,6.490644,4.588936,15.98894,0.2757456,3.105109,0.6030288,NONE
-1,6.520115,4.611061,6.49065,4.58894,15.98894,0.2757449,3.105114,0.7008381,NONE
-1,6.520107,4.611055,6.490658,4.588946,15.98895,0.2757451,3.105132,0.8046134,ACCELERATE
-1,6.520101,4.611052,6.490664,4.58895,15.98895,0.2757424,3.105124,0.904417,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98895,0.2757433,3.105124,1.002275,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757437,3.105127,1.104039,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105126,1.200099,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757443,3.105134,1.303019,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757434,3.105134,1.401976,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105134,1.501876,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757433,3.105134,1.601543,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757438,3.105138,1.701079,NONE
-1,6.520091,4.611044,6.490674,4.588957,15.98895,0.2757434,3.105138,1.804815,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105138,1.900206,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757442,3.105146,2.003484,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105146,2.103406,NONE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105146,2.202161,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98895,0.2757434,3.105145,2.302412,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757437,3.105149,2.402526,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757436,3.105149,2.502228,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.275744,3.105154,2.65375,NONE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757433,3.105154,2.703,NONE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757432,3.105154,2.801782,NONE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105154,2.90175,ACCELERATE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105154,3.003723,ACCELERATE
-1,6.520124,4.61103,6.49064,4.588972,15.98897,0.2757143,3.200774,3.104471,ACCELERATE
-1,6.520147,4.610994,6.490617,4.589007,15.98901,0.2757009,3.434357,3.200247,ACCELERATE
-1,6.520159,4.610943,6.490605,4.589058,15.98906,0.2756966,3.826216,3.303295,ACCELERATE
-1,6.520209,4.6109,6.490556,4.589101,15.9891,0.2838808,4.332678,3.403618,ACCELERATE
-1,6.520283,4.61088,6.490482,4.589121,15.98912,0.278334,4.964766,3.504627,ACCELERATE
-1,6.520404,4.610859,6.490361,4.589142,15.98914,0.2800019,5.683549,3.602336,ACCELERATE
-1,6.520413,4.610826,6.490353,4.589175,15.98918,0.2788254,6.521797,3.701898,ACCELERATE
-1,6.520461,4.610791,6.490305,4.58921,15.98921,0.2793285,7.441811,3.80032,ACCELERATE
-1,6.5205,4.610758,6.490266,4.589243,15.98924,0.2790825,8.466628,3.900875,ACCELERATE
-1,6.523915,4.610902,6.486872,4.5891,15.98906,0.2792074,9.560343,4.000796,LEFT_ACCELERATE
-1,6.732411,4.637954,6.29396,4.565096,15.96128,0.279142,10.76201,4.104234,LEFT_ACCELERATE
-1,6.813699,4.682036,6.219035,4.52163,15.91741,0.2791736,11.93501,4.200409,ACCELERATE
-1,6.878015,4.726413,6.158211,4.477245,15.87373,0.2791557,13.22909,4.30222,ACCELERATE
-1,6.938432,4.7681,6.101067,4.435548,15.83191,0.2791631,14.55351,4.402771,ACCELERATE
-1,6.999222,4.80995,6.043585,4.393693,15.79031,0.279158,15.92669,4.503961,ACCELERATE
-1,7.058004,4.850361,5.988015,4.353282,15.74991,0.279161,17.29559,4.602362,ACCELERATE
-1,7.115782,4.890049,5.933403,4.313594,15.70902,0.2791566,18.70422,4.701522,ACCELERATE
-1,7.175905,4.931325,5.876585,4.27232,15.66802,0.2791593,20.13161,4.800239,ACCELERATE
-1,7.238486,4.974273,5.81745,4.229376,15.62488,0.2791573,21.64378,4.903232,ACCELERATE
-1,7.301916,-1,5.757517,4.185859,15.58258,0.2791584,23.13289,5.003451,ACCELERATE
-1,7.361271,-1,5.701443,4.145145,15.5415,0.2791591,24.58302,5.100847,ACCELERATE
-1,7.423124,-1,5.643012,4.102722,15.49948,0.2791595,26.06866,5.200626,ACCELERATE
-1,7.484794,-1,5.584758,4.060429,15.45691,0.2791591,27.57508,5.301798,ACCELERATE
-1,7.559839,-1,5.517472,4.017549,15.41296,0.2791607,29.09514,5.403891,LEFT_ACCELERATE
-1,8.071605,-1,5.186831,3.93773,15.3203,0.2791622,30.56525,5.502852,LEFT_ACCELERATE
-1,8.897141,-1,4.681835,3.750921,15.10828,0.2791663,32.04642,5.603382,LEFT_ACCELERATE
-1,9.119354,-1,4.356736,3.513174,14.86766,0.2791611,33.51473,5.703279,ACCELERATE
-1,9.127532,-1,4.078432,3.280426,14.63996,0.2791625,34.97486,5.802492,ACCELERATE
-1,9.01103,-1,3.877991,3.053728,14.41101,0.2791595,36.49581,5.905751,LEFT_ACCELERATE
19.57102,9.032076,-1,3.676224,2.829552,14.16983,0.2791606,37.93373,6.003669,LEFT_ACCELERATE
19.66114,9.385931,-1,3.294068,2.580877,13.81495,0.2791689,39.3382,6.101072,LEFT_ACCELERATE
18.98259,9.471456,-1,2.99765,2.288299,13.34495,0.2791658,40.77618,6.202674,LEFT_ACCELERATE
17.56528,9.165591,-1,2.992492,2.099749,12.86827,0.2791625,42.22782,6.305258,LEFT_ACCELERATE
16.81326,9.005805,-1,3.018792,2.010342,12.37735,0.2791618,43.60976,6.403769,LEFT_ACCELERATE
16.34109,8.928766,-1,3.022006,1.940284,11.75781,0.2791661,45.00704,6.506461,LEFT_ACCELERATE
15.36724,8.612537,-1,3.374623,1.95859,11.13386,0.2791636,46.30299,6.603042,LEFT_ACCELERATE
15.08765,8.476003,-1,3.617136,2.018601,10.39857,0.2791719,47.59292,6.702874,LEFT_ACCELERATE
15.689,8.601199,-1,3.415853,2.018811,9.502711,0.2791976,48.76701,6.80232,LEFT_ACCELERATE
17.14364,9.025183,-1,2.909428,1.910511,8.420049,0.2792144,49.75931,6.901351,LEFT_ACCELERATE
19.81201,9.686815,-1,2.318864,1.683486,7.176452,0.2792133,50.52887,7.000063,LEFT_ACCELERATE
-1,-1,-1,1.783234,1.359668,5.774005,0.2791946,51.1199,7.102649,LEFT_ACCELERATE
-1,-1,-1,1.366533,1.031692,4.330908,0.2791809,51.57695,7.204373,LEFT_ACCELERATE
-1,-1,-1,1.192247,0.8355985,2.936833,0.2791674,51.99839,7.30218,ACCELERATE
-1,-1,-1,1.28338,0.8139459,1.531271,0.2791638,52.45945,7.401511,ACCELERATE
-1,9.505987,-1,1.689293,0.956336,0.112374,0.2791607,52.95092,7.50233,ACCELERATE
-1,8.961508,-1,2.548366,1.251872,-1.302958,0.279161,53.45655,7.603233,LEFT_ACCELERATE
-1,8.627679,-1,3.326491,1.604769,-2.722221,0.279161,53.92076,7.70354,LEFT_ACCELERATE
-1,8.735426,-1,3.410068,1.875862,-4.200086,0.2791771,54.2441,7.805316,LEFT_ACCELERATE
-1,9.005604,-1,3.325151,2.014893,-5.645614,0.279176,54.40257,7.903068,LEFT_ACCELERATE
-1,9.00857,-1,3.421562,2.126942,-7.117749,0.2791665,54.51609,8.002213,ACCELERATE
-1,8.835393,-1,3.641567,2.263209,-8.633855,0.2791629,54.65333,8.104423,ACCELERATE
-1,8.651247,-1,3.875423,2.407775,-10.05937,0.279161,54.79789,8.20062,ACCELERATE
-1,8.636353,-1,3.985499,2.545732,-11.58477,0.2791607,54.93947,8.303493,LEFT_ACCELERATE
-1,8.937568,-1,3.84617,2.590544,-13.04655,0.2791609,54.98886,8.401736,LEFT_ACCELERATE
-1,8.935884,-1,3.870471,2.619987,-14.59243,0.2791622,55.02025,8.505547,ACCELERATE
-1,8.879556,-1,3.931205,2.660723,-16.01681,0.2791606,55.06025,8.601213,ACCELERATE
-1,8.858974,-1,3.977804,2.707194,-17.54164,0.2791604,55.10704,8.703632,LEFT_ACCELERATE
-1,9.288715,-1,3.748136,2.693053,-19.00116,0.2791636,55.0896,8.80171,LEFT_ACCELERATE
-1,9.678297,-1,3.429524,2.577549,-20.50914,0.2791646,54.96597,8.903332,LEFT_ACCELERATE
-1,9.589209,-1,3.248994,2.44687,-21.96696,0.2791625,54.83596,9.001599,ACCELERATE
19.60623,9.361012,-1,3.158561,2.324475,-23.46478,0.2791617,54.71484,9.102484,ACCELERATE
18.16545,9.054936,-1,3.225169,2.229221,-24.95298,0.2791613,54.6026,9.202679,ACCELERATE
16.69027,8.66393,-1,3.515109,2.223464,-26.44191,0.2791602,54.49359,9.302905,LEFT_ACCELERATE
16.00865,8.47397,-1,3.733755,2.264382,-27.89708,0.2791628,54.3333,9.401261,LEFT_ACCELERATE
16.18842,8.580621,-1,3.587551,2.260726,-29.35058,0.2791829,54.01323,9.501407,LEFT_ACCELERATE
17.19238,9.036193,-1,3.096407,2.140051,-30.72315,0.2792071,53.47376,9.600793,LEFT_ACCELERATE
